"idName","gender","InvalsiRead1","InvalsiRead2","InvalsiRead3","InvalsiRead4","InvalsiRead5","InvalsiRead6","InvalsiRead7","InvalsiRead8","InvalsiRead9","InvalsiRead10","InvalsiRead11","InvalsiRead12"
"dnectoiy","F","0","1","1","1","0","1","0","0","1","1","1","1"
"fkxsurcy","F","1","1","1","1","1","1","1","1","1","1","1","1"
"vsmdzten","F","0","0","0","0","0","1","0","1","0","1","0","0"
"ityxawbq","F","0","0","0","0","0","0","0","0","0","1","0","1"
"diugawpk","F","0","0","0","1","0","1","0","0","0","0","1","1"
"ghtpqnwo","M","0","1","1","1","0","1","1","1","0","1","1","1"
"dvqacngw","M","1","1","1","1","0","1","0","0","0","1","1","1"
"bjguxhwd","F","1","1","1","1","1","1","1","0","1","1","1","1"
"rckeqztw","F","0","1","0","0","0","0","0","0","0","1","0","1"
"antvzrmx","M","1","1","1","1","1","1","1","0","1","1","1","1"
"weqvxsua","M","1","1","1","1","0","1","0","1","0","0","1","1"
"bgstxmiy","F","1","0","0","0","0","0","0","0","0","1","1","1"
"nmbopqzh","M","0","1","1","1","0","1","0","1","0","1","1","1"
"bgjievmn","F","0","0","0","1","0","0","0","0","0","0","0","0"
"ryspengw","M","1","1","1","1","0","1","0","0","0","1","1","1"
"ivhtzjap","F","1","0","0","0","0","0","1","0","0","1","0","1"
"rtgfhiyz","M","0","1","0","1","0","0","0","0","0","0","0","0"
"fbxmchpz","F","0","0","0","0","0","0","0","0","0","0","0","0"
"zakglmti","M","1","1","1","1","1","0","0","0","0","1","1","1"
"kiopzldu","M","0","0","0","0","0","0","0","0","0","0","1","0"
"lcsrehoi","F","1","1","1","1","0","1","0","0","0","0","1","1"
"xyeuisvj","F","0","1","1","1","0","0","0","0","0","1","0","1"
"uekypida","F","0","1","0","0","0","1","0","0","0","1","0","1"
"amhotkrw","F","1","1","1","1","0","0","1","1","0","1","1","1"
"cemytdng","M","1","1","1","1","0","1","1","0","0","1","0","1"
"vimjdnrz","F","0","1","1","1","1","1","1","0","1","1","1","1"
"ouvdmijh","M","1","1","0","0","0","0","0","0","0","1","1","1"
"bwrupaks","F","1","1","1","1","0","1","1","0","1","1","1","1"
"zegorxid","F","1","1","1","1","0","1","1","0","0","1","1","1"
"psxlzjyv","F","1","1","1","1","0","1","1","0","0","1","1","1"
"knsygcaw","F","0","0","0","1","0","0","0","0","0","1","0","1"
"bgtexkdi","F","0","1","1","1","0","1","0","0","0","1","1","1"
"bvqztlcf","M","0","1","1","0","0","1","0","0","1","1","1","1"
"jdoeprlz","M","0","0","1","1","0","1","1","0","1","1","0","1"
"tmphxdkn","F","0","1","1","0","0","0","0","0","1","0","0","1"
"voqesmnd","F","1","1","1","1","0","1","1","0","0","1","1","1"
"uiybozmv","M","1","1","0","1","0","1","0","0","0","1","1","1"
"gjruvwbi","F","0","1","1","1","0","1","0","0","0","1","1","1"
"ahtgrqlv","M","1","1","1","1","0","1","0","0","0","1","1","1"
"dfwunyxb","M","1","1","1","1","0","1","0","0","0","1","1","1"
"cukthrgi","M","0","1","0","1","0","1","0","0","1","1","0","1"
"grdjnibe","M","1","1","0","1","0","1","0","0","1","1","1","1"
"ohfkesnd","M","1","1","1","1","0","1","1","1","1","1","1","1"
"kqbmveid","M","1","1","0","1","0","1","0","1","1","1","1","1"
"vtsnwglr","F","0","1","1","1","0","0","0","0","0","1","0","0"
"rsmeajhn","f","1","1","1","1","0","1","0","0","0","1","1","1"
"wmvneqli","F","0","1","1","1","0","1","0","0","0","1","1","0"
"blfjikps"," ","0","1","0","0","0","1","0","0","0","1","0","1"
"xglhcqze","F","0","1","1","0","0","1","0","0","1","1","0","1"
"iacpszov","F","0","1","0","1","0","0","0","0","0","1","0","0"
"iksnthom","M","1","1","1","1","0","1","1","1","1","1","1","1"
"mxqbuchp","F","1","1","1","0","0","1","0","0","0","0","1","1"
"wbxchfyu","M","1","1","1","1","0","1","1","1","1","1","1","1"
"bzeyrgoc","F","1","1","1","1","1","1","1","1","1","1","1","1"
"zrhfxnvt","M","1","1","1","1","0","1","1","0","0","1","1","1"
"znfytksb","M","1","1","1","1","0","1","1","1","1","1","1","1"
"zmjfulxb","F","1","1","0","1","0","1","1","0","1","1","0","1"
"fnrkimzg","F","0","1","1","1","0","0","0","0","0","1","0","0"
"vlexbauc","M","0","1","1","1","0","0","1","0","1","1","0","1"
"lvobshje","F","0","1","0","1","0","1","0","0","0","1","0","1"
"aocpmsjt","F","0","1","1","0","0","1","0","0","0","1","1","1"
"bnkxzvmo","M","0","1","1","0","0","1","0","0","1","1","1","1"
"shcwjvku","M","0","1","0","1","0","0","0","0","0","0","0","0"
"lnytiohf","F","0","1","0","1","0","1","0","0","0","1","1","1"
"zicfvgaj","M","1","1","1","1","1","1","0","1","1","1","1","1"
"iojdfyng","M","","","","","","","","","","","",""
"hkiqdyvl","F","1","1","1","1","0","1","1","0","0","1","1","1"
"yscxbirv","M","1","1","1","1","0","1","0","1","1","1","1","1"
"egocyvdm","M","1","1","1","1","0","1","0","0","0","1","1","1"
"crwamhjp","M","1","1","1","0","0","1","0","0","1","0","1","1"
"xfzraymq","M","1","1","1","0","0","1","1","1","1","1","1","1"
"nufjqkyi","F","1","1","1","1","0","1","0","1","1","1","1","1"
"ubenolai","M","1","1","1","0","0","0","0","0","0","1","0","0"
"tcoibnrj","F","1","1","0","1","0","1","0","0","0","0","0","1"
"tgfdwmuh","M","1","1","1","1","0","1","0","0","1","1","1","1"
"gmpncuwj","m","1","1","1","1","0","1","0","0","0","1","1","1"
"ulsjogna","F","0","0","0","0","0","0","0","0","0","1","0","1"
"isjhemad","M","1","1","1","1","0","1","1","1","1","1","1","1"
"xdtvgmyz","M","1","1","1","1","1","1","1","0","1","1","1","1"
"hnixymgq","M","0","1","1","0","0","0","0","0","0","1","0","0"
"dsntjocm","M","1","0","1","1","0","1","0","0","0","1","0","1"
"xdjcbuhl"," ","0","1","0","0","0","0","0","0","0","0","0","1"
"ljduvywo","M","1","1","1","0","0","1","1","0","1","1","0","1"
"acmtspru","F","0","1","0","1","0","0","0","1","0","0","0","1"
"ysjoazvr","F","0","0","0","0","0","0","0","0","0","0","0","0"
"estlwygb","M","0","1","1","1","0","0","0","0","0","1","1","1"
"naokhzvg","F","0","0","0","1","0","0","0","0","0","1","0","1"
"cmpodwix","M","0","1","1","1","0","1","1","1","1","1","1","1"
"rsualmhk","M","1","1","0","0","0","1","0","0","0","1","0","1"
"lxjwczko","M","1","1","1","1","0","1","1","1","0","1","1","1"
"wnuaflks","M","0","1","0","0","0","0","0","0","0","0","0","0"
"mpjovdbz","M","1","1","0","1","0","0","0","0","0","0","0","1"
"mokfvgie","F","0","1","0","0","0","1","0","0","0","1","0","1"
"dzpiogyc","F","1","1","1","1","0","1","1","1","0","1","1","1"
"dmvkiyzt","M","0","1","1","1","1","1","1","1","1","1","1","1"
"zmvxwfot","M","1","1","1","1","1","1","0","0","1","1","1","1"
"wuxtlyoq","M","1","1","1","1","0","0","0","0","0","0","1","1"
"qznejvgc","M","1","1","1","0","0","0","0","0","0","1","1","1"
"bzcakpwt","M","1","1","1","1","1","1","1","1","1","1","1","0"
"vwgkxqyb","M","1","1","1","1","0","0","0","0","0","1","0","1"
"gyehufsn","F","1","1","0","0","1","1","1","1","1","1","1","1"
"yvtwpkdj","M","0","1","1","1","0","0","1","1","0","1","1","1"
"logbsxej","F","1","1","1","1","0","1","1","1","0","1","1","1"
"qxyldtip","F","0","1","0","0","0","0","0","0","0","1","0","0"
"bmsyglzt","M","0","1","1","0","0","1","0","0","0","1","0","1"
"olwtvbnk","M","1","1","0","1","0","1","0","0","0","0","1","1"
"pxyalqgc","M","0","0","1","1","0","0","0","0","0","1","0","0"
"jkafmxho","F","1","1","1","1","0","1","0","1","1","1","1","1"
"lparfkoh","M","0","1","1","1","0","1","0","1","0","1","1","1"
"hbqpmuie","F","1","1","0","1","0","1","1","0","1","1","1","1"
"nemdzcgb","f","1","1","1","1","0","1","0","1","0","1","1","0"
"uwrfevjq","M","0","1","0","1","0","0","0","0","0","0","0","0"
"kdqgfwaz","F","","","","","","","","","","","",""
"jloyeihg","F","0","0","0","0","0","0","0","0","0","0","0","1"
"bzmwxvne","F","0","1","0","0","0","0","0","0","0","1","0","0"
"ohabqfvw","F","1","1","1","0","0","1","0","0","0","1","1","0"
"voiatryq","M","0","1","0","0","0","1","0","0","0","1","1","1"
"gsfhmwrl","M","0","1","0","1","0","0","0","0","0","1","1","0"
"vrbcyjpd","M","0","1","1","1","0","0","0","0","0","1","0","1"
"jprcmqfv","F","1","1","0","0","0","1","0","1","0","1","1","1"
"tnusgclw","M","1","0","0","1","0","0","0","0","0","1","0","1"
"aszncybk","F","0","1","1","0","0","1","0","0","0","0","1","0"
"yqosiher","F","0","1","0","1","0","1","0","0","0","0","1","0"
"ctleprhy","F","1","1","1","1","1","1","0","0","1","0","1","1"
"nhxzufjt","F","1","0","1","1","0","1","0","0","0","1","1","1"
"ajehfurq","F","1","1","1","1","1","1","0","0","1","1","1","1"
"rqlvwbij","M","1","1","1","1","0","1","0","0","0","1","1","1"
"jcvtdfwx","F","1","1","1","1","0","1","0","0","0","1","1","1"
"ycbvihzn","F","0","1","1","1","0","1","1","1","0","1","1","1"
"wuxobnlj","M","1","1","1","1","1","1","1","0","1","1","1","1"
"vypwetsk","M","1","1","1","1","1","1","0","0","0","1","1","1"
"thmwnulc","F","1","1","1","0","0","1","0","1","0","1","0","1"
"rgjzxsin","M","1","1","1","1","0","1","1","0","1","1","1","1"
"porucvis","F","0","1","1","1","0","1","1","0","0","1","1","1"
"ljhdfpyb","F","0","1","1","1","0","1","1","0","0","1","1","1"
"nmwpdxko","M","1","1","1","1","0","1","1","0","0","1","1","1"
"hnwqceiu","M","0","1","0","0","0","0","0","0","0","1","0","0"
"owlvhguf","M","0","0","1","0","0","0","0","0","0","0","0","0"
"uaevptmh","F","1","1","1","1","0","1","0","0","1","1","1","1"
"drsujmle","M","1","1","1","1","0","0","1","0","0","1","1","1"
"nhtadzoy","M","1","1","0","1","0","0","0","1","0","1","1","1"
"eqlciwjb","F","1","1","0","0","0","1","0","0","0","1","1","1"
"zekmfhao","F","1","1","1","1","0","1","0","0","0","1","0","1"
"lgzvqmho","M","1","1","1","1","1","1","1","1","0","1","1","1"
"zvbwamnj","M","0","1","1","0","0","0","0","0","0","1","0","1"
"knzdebsg","F","0","1","1","0","0","1","0","0","0","1","0","1"
"chnpjmru","M","1","1","1","1","1","1","1","1","1","1","1","1"
"qbnskwcz","M","0","1","1","1","1","1","1","0","0","1","1","1"
"zkbsorwf","M","1","1","1","1","0","1","1","0","1","1","1","1"
"tnyswvpx","M","1","1","1","1","0","1","1","1","0","1","1","1"
"ohigndcx","F","0","1","1","1","0","1","1","1","0","1","0","0"
"kwmixyhc","F","0","0","0","0","0","0","0","0","0","1","0","0"
"nsbjcfka","F","1","1","0","1","0","0","0","0","0","1","0","0"
"qzemsywg","F","0","1","1","1","0","0","1","0","0","0","1","1"
"oqsiwkzx","F","1","1","1","1","1","1","0","0","1","1","1","1"
"byqtzpos","F","1","0","0","1","0","1","0","0","0","1","1","1"
"hgrtamop","M","0","1","0","0","0","1","0","0","0","1","0","1"
"etpkngud","F","1","1","1","0","0","1","1","0","0","0","1","1"
"ykgnloxb","M","0","1","0","0","0","1","1","0","0","1","1","1"
"kdygczao","M","1","1","1","1","0","1","1","1","0","1","1","1"
"mnyrelzd","F","1","1","1","1","0","1","0","1","0","0","0","1"
"ekuimxhw","F","1","1","1","1","0","0","0","0","0","1","0","1"
"phelgywq","M","0","0","0","0","0","1","0","0","0","1","0","0"
"ngsciexj","F","0","1","1","1","0","1","0","0","0","1","0","0"
"vckgsqmi","M","1","1","1","1","0","1","1","1","0","1","1","1"
"mehdyija","F","1","1","1","1","0","1","1","1","1","1","1","1"
"kquzsrxc","F","1","1","1","1","1","1","0","0","0","1","1","1"
"rbhpvxzy","F","0","0","0","1","1","0","0","0","0","0","0","0"
"zunftqgi","M","1","1","1","1","0","1","0","0","1","1","0","1"
"ywvptnru","F","1","1","0","1","0","1","0","0","0","1","0","0"
"fbcvwuye","M","0","1","1","0","0","0","0","0","0","0","0","1"
"ngdxsiuj","M","0","1","0","1","0","1","0","0","0","0","0","0"
"cvdxmzlk","M","1","1","0","1","0","0","0","0","0","1","1","1"
"rqshfwdt","F","0","1","1","1","1","1","1","1","1","1","1","1"
"zesqhpnk","F","0","1","1","1","0","0","0","0","0","0","1","0"
"eglzbujs","F","0","0","1","1","0","0","0","0","0","1","0","1"
"kogalynm","M","1","1","1","1","1","1","1","1","1","1","1","1"
"brjvfawe","M","0","1","0","1","0","1","1","0","0","1","0","1"
"gyjbdthl","M","0","1","1","1","1","1","0","0","0","0","0","1"
"ilqndvht","F","1","1","0","1","0","0","1","1","0","1","0","1"
"xwnvedua","M","1","1","1","1","0","1","0","0","0","1","0","1"
"cpdijhvo","m","0","0","1","1","0","1","0","0","0","1","0","1"
"esctjnml","F","0","1","0","1","1","1","0","1","0","1","1","1"
"mbjxfdyt","M","0","1","1","1","0","0","0","0","0","0","0","0"
"amvpnlro","F","1","1","1","1","0","1","0","1","0","1","0","1"
"vxqzrlgf","M","1","1","1","1","1","1","0","0","1","1","1","1"
"qrfijbnu","F","0","1","1","1","0","1","0","0","0","0","1","0"
"sygluftz","F","1","1","0","1","0","0","1","0","1","1","1","1"
"jwetfmci","F","1","1","0","1","1","1","0","0","0","1","1","1"
"vidsqcxy","M","1","1","1","1","1","1","1","0","0","1","1","1"
"cajwrgmi","M","0","0","0","0","0","1","0","0","0","0","0","1"
"zdysilmr","F","1","1","1","1","0","1","0","1","1","1","1","1"
"epvoixrz"," ","1","1","0","1","0","1","0","1","1","1","1","1"
"ghutpsre","F","1","1","1","1","0","1","0","0","0","1","1","1"
"ufxalnyz","M","1","1","0","0","0","1","1","1","0","1","1","1"
"goknyard","M","0","1","1","1","0","1","0","0","0","0","0","1"
"jrqzande","M","1","1","0","1","0","1","0","0","0","1","0","1"
"tmnsuwpg","F","0","0","0","0","0","0","0","0","0","0","0","0"
"xbiyfwoq","F","0","1","1","1","0","1","0","0","0","1","1","1"
"qntvmaob","M","0","1","0","1","0","1","0","0","0","1","1","1"
"amoynpdq","F","0","1","1","1","0","1","0","0","0","1","0","1"
"aczslfmy","M","1","1","1","1","0","1","0","1","0","1","1","1"
"zlxevtnd","F","0","1","0","0","0","0","0","0","0","0","0","1"
"jxahksnw","M","1","1","1","1","0","0","0","0","0","1","0","1"
"yvxstlid","F","1","1","1","1","0","1","0","1","0","1","1","1"
"thgrmkbp","F","1","1","1","1","0","1","0","0","0","1","1","1"
"igltuchz","F","1","1","1","1","0","1","0","1","0","1","1","1"
"ijgtqhwy","F","0","0","0","1","0","0","0","0","0","1","0","1"
"zckolaxw","M","1","1","0","0","0","1","0","0","0","1","0","1"
"ixtaqzcd","M","1","1","1","1","0","0","0","0","0","1","0","1"
"fpngastz","M","0","0","0","0","0","0","0","0","0","0","0","0"
"cygkijhn","F","0","0","1","1","0","1","0","0","0","0","0","1"
"itwojqxa","M","1","1","1","1","1","1","1","1","0","1","1","1"
"zghmbqit","F","0","1","0","1","0","1","1","0","0","0","1","1"
"ldyohxvz","F","0","0","0","0","0","0","0","0","0","0","0","0"
"erhsmnlk","F","1","1","1","1","0","1","1","1","0","1","1","1"
"npmvkjer","M","0","1","0","1","0","0","0","0","0","1","0","0"
"amfpujkn","F","1","1","1","1","0","1","0","1","1","1","1","1"
"ovcgbziu","M","1","1","1","1","0","1","1","1","0","1","1","1"
"scwaridq","F","1","1","0","0","0","0","0","0","0","1","0","1"
"kvybjode","M","1","0","1","1","0","1","0","1","1","1","1","1"
"ihmjxpsg","M","0","1","0","0","0","0","1","0","1","1","1","0"
"wboixgqh","M","1","1","1","1","1","1","1","1","1","1","1","1"
"gpsnkyih","F","1","0","1","1","0","1","0","0","0","0","1","1"
"nbvxukmq","F","0","1","1","1","0","1","1","1","1","1","0","1"
"dzoimbvp","M","0","1","1","1","0","1","1","1","1","1","1","1"
"vzmkpnja","F","0","0","0","1","0","0","0","0","0","0","0","1"
"uskcdbtz","F","1","1","1","1","0","1","1","1","1","1","1","1"
"wpncdhzg","F","0","1","1","0","0","0","0","0","0","1","0","0"
"ckgaytnb","F","1","1","1","1","0","1","0","1","0","1","1","1"
"ckobwxra","M","0","0","1","1","0","0","0","0","0","1","0","1"
"zmdovcpa","F","1","1","1","1","0","1","1","1","1","1","0","1"
"aqtfymnb","F","1","1","1","1","0","1","1","0","0","1","1","1"
"fwphrqgu","M","1","1","0","0","0","1","0","0","0","1","1","1"
"qhvnujow","M","1","1","1","1","0","1","0","0","0","1","0","1"
"yznlfhmu","F","1","1","0","1","1","1","0","0","0","0","1","1"
"mkvbtqfd","F","1","1","0","0","0","1","1","1","1","0","1","1"
"lipogfxb","F","1","1","1","1","0","1","1","0","0","1","1","1"
"yialbqsn","M","0","0","0","0","0","0","0","0","0","0","1","1"
"bzsctlxo","M","0","1","0","0","0","1","0","0","0","0","0","1"
"guwdqkfv","F","0","1","1","1","0","1","1","0","0","0","0","0"
"mquwkzdo","F","0","0","0","0","0","0","0","0","0","0","0","1"
"zorfjvem","F","1","1","1","1","0","0","0","0","0","1","0","1"
"dluzacfo","M","1","1","1","1","0","1","0","0","1","1","1","1"
"rlmqzvow","F","0","1","0","1","1","1","0","0","0","1","1","1"
"wdbjalei","M","0","1","1","0","0","0","0","1","0","0","1","1"
"afuiotch","M","1","0","0","1","0","1","0","0","0","1","0","1"
"jywrbnox","M","1","1","0","1","0","0","0","1","0","1","1","1"
"emtwlzyk"," ","0","1","1","0","0","1","0","0","0","1","1","1"
"zcremqjb","F","1","1","1","0","0","1","0","0","0","1","0","0"
"komjviux","M","0","1","0","1","0","0","0","0","0","0","1","1"
"qgluakyt","F","0","1","1","1","0","0","0","0","0","0","0","10000"
"qyextihm","F","0","1","1","0","0","1","0","0","0","1","0","1"
"skfcvxpa","F","0","1","0","0","0","1","0","0","0","1","1","1"
"quptkfir","F","0","0","0","0","0","1","0","0","0","1","0","0"
"exzhtdbs","M","0","1","0","1","1","1","0","0","1","1","1","1"
"mhjebsvo","M","1","1","1","1","0","1","1","0","0","1","1","1"
"rjyswbgq"," ","1","1","1","1","0","1","0","0","0","1","1","1"
"vwkpsjya","M","0","1","0","1","0","0","0","0","0","1","0","1"
"eizomnul","F","1","1","1","1","0","1","1","1","1","1","1","1"
"dnkuhbmt","f","1","1","1","1","1","1","1","1","1","1","1","1"
"bzsqdnvp","F","1","1","1","1","0","1","1","0","1","1","0","1"
"wselraxz","F","1","1","1","1","0","1","0","0","1","1","0","0"
"onwplgtv","M","1","0","0","1","0","1","0","0","0","1","1","0"
"bpqzhlgf","F","0","1","0","1","0","1","0","0","0","1","1","1"
"bmneqogh","F","0","0","0","1","0","0","0","0","0","0","0","0"
"kmzxubai","F","1","1","0","1","1","1","0","0","1","1","1","0"
"jntrzuiv","F","0","1","0","1","0","1","0","0","0","1","1","0"
"xnaokhuq","M","0","1","1","0","0","1","0","1","1","1","1","1"
"xdeockru","M","0","1","1","0","0","1","0","0","0","0","1","0"
"wbkhmezd","M","1","1","1","1","0","1","1","1","0","1","1","1"
"swemlpxj","M","1","1","1","1","1","1","1","1","0","1","0","1"
"ujxistrf","F","1","1","1","1","1","1","0","0","1","1","1","1"
"besvpjyc","F","0","0","0","1","0","0","0","0","0","0","1","1"
"ckwhsyeu","M","0","0","0","0","0","1","0","0","1","1","1","1"
"acxreifd","F","1","1","1","1","1","1","1","1","1","1","1","1"
"grbwtkam","F","1","1","1","1","1","1","1","0","1","1","1","1"
"fvxdnqsh","F","0","0","0","0","0","1","0","0","0","1","0","1"
"zwriucha","M","1","1","1","1","0","1","1","1","1","1","1","0"
"ugmrvidp","M","0","1","0","0","0","0","0","0","0","0","0","0"
"iltajnyh","F","1","1","1","1","0","1","0","0","0","1","1","1"
"pxytjmws","F","1","1","1","1","0","1","1","0","1","1","1","1"
"fanktsmh","F","1","1","0","1","0","1","0","0","0","1","0","1"
"grdevkjx","F","1","1","1","1","1","1","1","0","1","1","1","1"
"vdebtarf","M","1","1","1","1","0","0","1","0","1","1","1","1"
"ycslkqtn","M","0","1","0","1","0","1","0","1","0","1","0","1"
"pdlvcxuo","M","1","1","1","1","1","1","1","1","1","1","1","1"
"scgevdql","M","0","1","1","1","1","1","1","1","0","1","1","1"
"lbiqwsan","M","1","1","0","1","0","1","0","0","0","1","1","1"
"gdihlqam","M","1","1","0","1","0","1","1","1","1","1","1","1"
"hvijplky","F","1","1","1","1","1","1","1","1","1","1","1","1"
"rtpdcuqh","M","0","1","1","1","0","0","0","0","0","1","0","1"
"dlahnziv","F","1","1","1","1","1","1","1","1","1","1","1","1"
"loyfbqrn","F","1","1","0","1","0","1","0","0","0","1","1","1"
"lbghprew","F","1","1","0","1","0","1","0","1","0","1","0","1"
"npakutcj","M","1","1","1","1","0","1","0","0","0","1","1","1"
"soirefzq","F","1","1","0","1","0","0","0","0","0","1","0","0"
